ID,Order_EN,Order_CN,Family_EN,Family_CN,Genus_EN,Genus_CN,Species_EN,Species_CN,Name_EN,Name_CN
05823,Arecales,棕榈目,Arecaceae,棕榈科,Chamaerops,欧洲棕属,humilis,欧洲矮棕,Chamaerops humilis,矮叶变色龙
05824,Arecales,棕榈目,Arecaceae,棕榈科,Cocos,椰子属,nucifera,椰子,Cocos nucifera,椰子
05825,Arecales,棕榈目,Arecaceae,棕榈科,Phoenix,刺葵属,canariensis,加那利海枣,Phoenix canariensis,加那利凤凰
05826,Arecales,棕榈目,Arecaceae,棕榈科,Phoenix,刺葵属,dactylifera,海枣,Phoenix dactylifera,凤尾草
05827,Arecales,棕榈目,Arecaceae,棕榈科,Phoenix,刺葵属,reclinata,reclinata,Phoenix reclinata,斜凤
05828,Arecales,棕榈目,Arecaceae,棕榈科,Rhopalostylis,棕榈属,sapida,sapida,Rhopalostylis sapida,剑竹
05830,Arecales,棕榈目,Arecaceae,棕榈科,Sabal,菜棕属,palmetto,菜棕,Sabal palmetto,萨巴尔棕榈
05832,Arecales,棕榈目,Arecaceae,棕榈科,Washingtonia,华盛顿棕属,filifera,丝棕,Washingtonia filifera,华盛顿花
05833,Arecales,棕榈目,Arecaceae,棕榈科,Washingtonia,华盛顿棕属,robusta,粗壮华盛顿棕,Washingtonia robusta,华盛顿州罗布斯塔
05945,Asparagales,天门冬目,Asphodelaceae,阿福花科,Aloe,芦荟属,ferox,ferox,Aloe ferox,芦荟
06224,Pandanales,露兜树目,Pandanaceae,露兜树科,Pandanus,Pandanus,tectorius,露兜树,Pandanus tectorius,露兜树
06225,Poales,禾本目,Bromeliaceae,凤梨科,Bromelia,Bromelia,pinguin,pinguin,Bromelia pinguin,凤梨
06226,Poales,禾本目,Bromeliaceae,凤梨科,Tillandsia,Tillandsia,fasciculata,fasciculata,Tillandsia fasciculata,束状空气凤梨
06229,Poales,禾本目,Bromeliaceae,凤梨科,Tillandsia,Tillandsia,utriculata,utriculata,Tillandsia utriculata,凤梨
06453,Zingiberales,姜目,Musaceae,芭蕉科,Musa,Musa,acuminata,香蕉,Musa acuminata,芭蕉
