ID,Order_EN,Order_CN,Family_EN,Family_CN,Genus_EN,Genus_CN,Species_EN,Species_CN,Name_EN,Name_CN
05823,Arecales,棕榈目,Arecaceae,棕榈科,Chamaerops,欧洲棕属,humilis,欧洲矮棕,Chamaerops humilis,欧洲棕属欧洲矮棕
05824,Arecales,棕榈目,Arecaceae,棕榈科,Cocos,椰子属,nucifera,椰子,Cocos nucifera,椰子属椰子
05825,Arecales,棕榈目,Arecaceae,棕榈科,Phoenix,刺葵属,canariensis,加那利海枣,Phoenix canariensis,刺葵属加那利海枣
05826,Arecales,棕榈目,Arecaceae,棕榈科,Phoenix,刺葵属,dactylifera,海枣,Phoenix dactylifera,刺葵属海枣
05827,Arecales,棕榈目,Arecaceae,棕榈科,Phoenix,刺葵属,reclinata,reclinata,Phoenix reclinata,刺葵属reclinata
05828,Arecales,棕榈目,Arecaceae,棕榈科,Rhopalostylis,棕榈属,sapida,sapida,Rhopalostylis sapida,棕榈属sapida
05830,Arecales,棕榈目,Arecaceae,棕榈科,Sabal,菜棕属,palmetto,菜棕,Sabal palmetto,菜棕属菜棕
05832,Arecales,棕榈目,Arecaceae,棕榈科,Washingtonia,华盛顿棕属,filifera,丝棕,Washingtonia filifera,华盛顿棕属丝棕
05833,Arecales,棕榈目,Arecaceae,棕榈科,Washingtonia,华盛顿棕属,robusta,粗壮华盛顿棕,Washingtonia robusta,华盛顿棕属粗壮华盛顿棕
05945,Asparagales,天门冬目,Asphodelaceae,阿福花科,Aloe,芦荟属,ferox,ferox,Aloe ferox,芦荟属ferox
06224,Pandanales,露兜树目,Pandanaceae,露兜树科,Pandanus,Pandanus,tectorius,露兜树,Pandanus tectorius,Pandanus露兜树
06225,Poales,禾本目,Bromeliaceae,凤梨科,Bromelia,Bromelia,pinguin,pinguin,Bromelia pinguin,Bromeliapinguin
06226,Poales,禾本目,Bromeliaceae,凤梨科,Tillandsia,Tillandsia,fasciculata,fasciculata,Tillandsia fasciculata,Tillandsiafasciculata
